City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Cidreira,BR,2021-02-01 13:53:16,-30.1811,-50.2056,79.99,74,1,8.1,clear sky
204,Patris,GR,2021-02-01 14:02:30,40.5611,22.1861,57.99,74,100,3.27,overcast clouds
205,Havre-Saint-Pierre,CA,2021-02-01 14:02:30,50.2334,-63.5986,6.8,72,1,5.75,clear sky
206,Chulym,RU,2021-02-01 14:02:30,55.0997,80.9572,1.31,84,0,4.88,clear sky
207,Kavieng,PG,2021-02-01 13:56:12,-2.5744,150.7967,82.67,79,100,13.13,light rain
208,Bredasdorp,ZA,2021-02-01 13:55:14,-34.5322,20.0403,69.8,46,0,14.97,clear sky
209,Chauk,MM,2021-02-01 14:02:31,20.8833,94.8167,70.32,27,64,0.81,broken clouds
210,Guerrero Negro,MX,2021-02-01 13:55:49,27.9769,-114.0611,60.66,50,100,1.97,overcast clouds
211,San Antonio,US,2021-02-01 14:00:00,29.4241,-98.4936,50.0,46,1,10.36,clear sky
212,Lowestoft,GB,2021-02-01 14:02:31,52.4752,1.7516,39.99,90,26,4.0,scattered clouds
213,Chapais,CA,2021-02-01 13:55:59,49.7834,-74.8492,-2.2,84,75,3.44,broken clouds
214,Bac Lieu,VN,2021-02-01 14:02:32,9.285,105.7244,76.77,76,62,13.71,broken clouds
215,Cao Bang,VN,2021-02-01 14:02:32,22.6667,106.25,66.63,74,69,3.24,broken clouds
216,Gawler,AU,2021-02-01 13:57:41,-34.6,138.7333,61.0,69,0,1.01,clear sky
217,Durban,ZA,2021-02-01 14:02:32,-29.8579,31.0292,73.4,73,90,21.85,light rain
218,Taiyuan,CN,2021-02-01 14:02:33,37.8694,112.5603,26.6,20,0,8.95,clear sky
219,Sayyan,YE,2021-02-01 14:02:33,15.1718,44.3244,64.49,26,0,14.27,clear sky
220,Dhidhdhoo,MV,2021-02-01 14:02:33,6.8833,73.1,82.4,74,89,11.14,overcast clouds
221,Nome,US,2021-02-01 13:55:35,64.5011,-165.4064,8.6,61,90,24.16,overcast clouds
222,Blagoyevo,RU,2021-02-01 14:02:33,63.3667,47.9167,18.75,96,100,12.73,light snow
223,Isangel,VU,2021-02-01 13:55:55,-19.55,169.2667,78.13,82,87,14.0,overcast clouds
224,Esperance,AU,2021-02-01 13:56:00,-33.8667,121.9,64.4,68,0,12.66,clear sky
225,Pingtung,TW,2021-02-01 14:02:34,22.6714,120.4881,69.01,40,20,1.14,few clouds
226,Jalu,LY,2021-02-01 13:57:49,29.0331,21.5482,73.62,34,100,8.72,overcast clouds
227,Alice Springs,AU,2021-02-01 13:56:55,-23.7,133.8833,84.2,34,22,16.11,few clouds
228,College,US,2021-02-01 13:57:53,64.8569,-147.8028,-13.0,58,1,9.22,clear sky
229,Khorixas,NA,2021-02-01 14:02:35,-20.3667,14.9667,88.45,18,68,16.06,broken clouds
230,Heze,CN,2021-02-01 14:02:35,35.2431,115.4411,40.3,52,0,14.67,clear sky
231,Gornopravdinsk,RU,2021-02-01 13:57:14,60.05,69.9,7.93,94,77,10.02,broken clouds
232,Najran,SA,2021-02-01 13:56:12,17.4924,44.1277,77.0,27,0,4.61,clear sky
233,Masvingo,ZW,2021-02-01 14:02:35,-20.0637,30.8277,83.16,56,100,1.81,overcast clouds
234,Takoradi,GH,2021-02-01 13:55:12,4.8845,-1.7554,84.33,72,60,9.98,light rain
235,Georgetown,MY,2021-02-01 13:53:29,5.4112,100.3354,82.4,78,20,4.61,light rain
236,Lavrentiya,RU,2021-02-01 13:55:46,65.5833,-171.0,-1.93,88,100,19.91,overcast clouds
237,Clyde River,CA,2021-02-01 13:57:58,70.4692,-68.5914,-13.0,70,40,18.41,scattered clouds
238,Bahia Honda,CU,2021-02-01 14:02:36,22.9036,-83.1592,74.01,79,10,9.8,light rain
239,Hofn,IS,2021-02-01 14:02:36,64.2539,-15.2082,30.2,86,75,9.22,broken clouds
240,Petropavlovsk-Kamchatskiy,RU,2021-02-01 14:02:37,53.0452,158.6483,19.4,49,100,22.37,overcast clouds
241,Liaoyang,CN,2021-02-01 14:02:37,41.2719,123.1731,6.8,43,0,8.95,clear sky
242,Qasigiannguit,GL,2021-02-01 14:02:38,68.8193,-51.1922,8.6,72,75,4.61,light snow
243,Fortuna,US,2021-02-01 14:02:39,40.5982,-124.1573,55.0,50,1,17.27,clear sky
244,Ketchikan,US,2021-02-01 13:59:48,55.3422,-131.6461,33.8,100,90,3.87,light rain
245,Shwebo,MM,2021-02-01 14:02:39,22.5667,95.7,68.32,34,0,1.21,clear sky
246,Nichinan,JP,2021-02-01 13:57:54,31.6,131.3667,59.0,93,69,10.0,broken clouds
247,La Asuncion,VE,2021-02-01 14:02:39,11.0333,-63.8628,78.55,75,11,16.64,few clouds
248,Dunedin,NZ,2021-02-01 13:55:14,-45.8742,170.5036,57.0,89,0,4.0,clear sky
249,Olafsvik,IS,2021-02-01 13:56:05,64.8945,-23.7142,33.12,86,100,10.74,overcast clouds
250,Jiaojiang,CN,2021-02-01 14:02:40,28.6803,121.4428,59.0,85,68,4.0,broken clouds
251,Buchanan,LR,2021-02-01 13:55:48,5.8808,-10.0467,91.4,62,75,8.05,haze
252,Formiga,BR,2021-02-01 14:02:41,-20.4644,-45.4264,79.36,69,87,6.89,overcast clouds
253,Banjar,ID,2021-02-01 14:02:41,-8.19,114.9675,82.4,78,40,12.66,scattered clouds
254,Zaraza,VE,2021-02-01 14:02:41,9.3503,-65.3245,83.14,49,43,9.84,scattered clouds
255,Mecca,SA,2021-02-01 14:02:41,21.4267,39.8261,82.35,48,0,15.7,clear sky
256,Atambua,ID,2021-02-01 14:02:41,-9.1061,124.8925,74.91,83,99,1.03,overcast clouds
257,Puerto Del Rosario,ES,2021-02-01 13:54:28,28.5004,-13.8627,69.8,73,20,16.11,few clouds
258,Kyzyl-Suu,KG,2021-02-01 14:01:50,42.3414,78.0056,32.63,84,100,2.44,overcast clouds
259,Clonakilty,IE,2021-02-01 14:02:42,51.6231,-8.8706,46.99,100,90,10.36,fog
260,Ouegoa,NC,2021-02-01 14:02:43,-20.35,164.4333,77.67,75,100,15.95,overcast clouds
261,Aksarka,RU,2021-02-01 14:02:43,66.5606,67.7975,9.91,95,100,10.96,overcast clouds
