City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Nador,MA,2021-01-28 00:19:01,35.174,-2.9287,59.0,82,0,1.57
197,Zwedru,LR,2021-01-28 00:19:02,6.0667,-8.1281,73.33,93,3,3.13
198,Moranbah,AU,2021-01-28 00:19:02,-22.0016,148.0466,84.47,52,14,17.49
199,Shakawe,BW,2021-01-28 00:19:02,-18.3667,21.85,68.2,90,100,3.24
200,Puerto Madryn,AR,2021-01-28 00:19:02,-42.7692,-65.0385,62.82,50,87,11.83
201,Karratha,AU,2021-01-28 00:19:03,-20.7377,116.8463,95.07,16,0,12.88
202,Izhma,RU,2021-01-28 00:19:03,65.0083,53.9113,13.53,97,100,1.83
203,Castlerea,IE,2021-01-28 00:19:03,53.7667,-8.5,52.0,96,100,5.99
204,Quatre Cocos,MU,2021-01-28 00:11:16,-20.2078,57.7625,75.99,88,20,4.61
205,Kavaratti,IN,2021-01-28 00:19:03,10.5669,72.642,80.55,67,75,11.27
206,Saldanha,ZA,2021-01-28 00:09:43,-33.0117,17.9442,62.6,67,0,14.97
207,Letlhakane,BW,2021-01-28 00:19:04,-21.4167,25.5833,72.9,77,98,8.46
208,Yarim,YE,2021-01-28 00:19:04,14.298,44.3779,45.54,51,0,4.61
209,Bethel,US,2021-01-28 00:05:57,41.3712,-73.414,30.2,69,90,8.05
210,Luba,GQ,2021-01-28 00:19:04,3.4568,8.5547,77.0,79,20,4.61
211,Senador Guiomard,BR,2021-01-28 00:19:06,-10.1522,-67.7392,75.2,94,0,2.3
212,Berlevag,NO,2021-01-28 00:10:13,70.8578,29.0864,24.39,92,100,20.31
213,Thinadhoo,MV,2021-01-28 00:19:06,0.5333,72.9333,81.46,78,94,17.96
214,Nueve De Julio,AR,2021-01-28 00:19:07,-35.4444,-60.8831,82.99,32,0,1.01
215,Mareeba,AU,2021-01-28 00:19:07,-17.0,145.4333,80.01,89,75,5.75
216,Kokoda,PG,2021-01-28 00:19:07,-8.8785,147.7407,85.32,59,100,0.81
217,Grand Gaube,MU,2021-01-28 00:19:08,-20.0064,57.6608,75.99,83,17,7.56
218,Tessalit,ML,2021-01-28 00:19:08,20.1986,1.0114,64.4,23,0,7.76
219,Waipawa,NZ,2021-01-28 00:19:08,-41.4122,175.5153,66.2,88,90,25.32
220,Sretensk,RU,2021-01-28 00:19:08,52.2453,117.7093,-27.83,80,44,2.3
221,Kamenka,RU,2021-01-28 00:11:11,51.3223,42.7678,30.99,96,100,14.52
