City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Guarapari,BR,89.6,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
524,Bambanglipuro,ID,78.58,heavy intensity rain,-7.95,110.2833,Puri Brata
526,The Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
528,Odweyne,SO,77.72,few clouds,9.4092,45.06399999999999,Eng Hiirey House
529,Majene,ID,79.77,light rain,-3.5403,118.9707,Kost Putri RABBANI
532,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
533,Meulaboh,ID,79.86,overcast clouds,4.1363,96.1285,Kost Pria
535,Tutoia,BR,87.8,light rain,-2.7619,-42.2744,Pousada Guará's
540,Grand Gaube,MU,82.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
542,Tupancireta,BR,77.07,clear sky,-29.0806,-53.8358,Hotel Cassino
543,Hobyo,SO,78.24,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
545,Uchiza,PE,77.59,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
573,Riohacha,CO,82.0,broken clouds,11.5444,-72.9072,Hotel Taroa
576,Mana,GF,78.26,overcast clouds,5.6592,-53.7767,LE SAMANA
578,Narathiwat,TH,78.8,scattered clouds,6.3333,101.75,MUSOR
581,Montepuez,MZ,81.57,light rain,-13.1256,38.9997,Complexo Messalo
584,Jacareacanga,BR,77.0,broken clouds,-6.2222,-57.7528,Casa do Ian😎
585,Asuncion,PY,77.0,mist,-25.3007,-57.6359,Crowne Plaza Asuncion
588,Mayumba,GA,84.51,clear sky,-3.432,10.6554,LIKWALE LODGE
590,Atar,MR,89.53,clear sky,20.5169,-13.0499,Oumou Elghoura
594,Sola,VU,81.84,overcast clouds,-13.8833,167.55,Leumerus Bungalows
595,Trincomalee,LK,80.08,clear sky,8.5711,81.2335,Welcombe Hotel
596,Luwuk,ID,78.31,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
597,Terra Santa,BR,87.15,scattered clouds,-2.1042,-56.4869,Hotel Sarah
598,Fare,PF,80.76,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
600,Tanete,ID,78.6,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
603,Sao Raimundo Nonato,BR,86.94,broken clouds,-9.0153,-42.6994,Real Hotel
604,Hambantota,LK,80.6,few clouds,6.1241,81.1185,Bungalow 63
606,Teyateyaneng,LS,80.47,overcast clouds,-29.1472,27.7489,Blue Mountain Inn
611,Karratha,AU,76.73,light rain,-20.7377,116.8463,ibis Styles Karratha
616,Ranong,TH,82.4,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
620,Bosaso,SO,75.18,few clouds,11.2842,49.1816,Red Sea Hotel
621,Caravelas,BR,85.21,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
625,Comodoro Rivadavia,AR,78.8,clear sky,-45.8667,-67.5,Austral Hotel
631,Maues,BR,84.67,broken clouds,-3.3836,-57.7186,Hotel Miramar
634,Esna,EG,80.6,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
636,Iguape,BR,75.79,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
639,Omboue,GA,84.38,overcast clouds,-1.5746,9.2618,Hotel Olako
645,Quthing,LS,81.07,clear sky,-30.4,27.7003,Mountainside Hotel
646,Tefe,BR,75.2,light rain,-3.3542,-64.7114,Aracati Hotel
661,Eydhafushi,MV,80.67,overcast clouds,5.1033,73.0708,Soneva Fushi
664,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
667,Harper,LR,82.83,light rain,4.375,-7.7169,Screensaver
669,Manggar,ID,80.11,overcast clouds,-2.8833,108.2667,Guest Hotel
671,Karaton,ID,81.0,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
675,Mancio Lima,BR,79.03,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
679,Neiafu,TO,78.8,light rain,-18.65,-173.9833,Mystic Sands
680,San Matias,BO,84.47,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
684,Collie,AU,75.0,clear sky,-33.3667,116.15,Collie Ridge
685,Pontianak,ID,77.0,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
688,Sao Joao Da Barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
693,Cozumel,MX,75.2,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
694,Buala,SB,81.59,light rain,-8.145,159.5921,Maringe Lagoon Lodge
